ID;Tournament;Patch;Date First Game;Date Last Game;# Matches
16935;The International 2024;7.37;2024-09-04;2024-09-15;123
17119;PGL Wallachia 2024 Season 2;7.37;2024-10-04;2024-10-13;121
17126;BetBoom Dacha Belgrade 2024;7.37;2024-10-19;2024-10-26;95
17272;DreamLeague Season 24 powered by Intel;7.37;2024-10-27;2024-11-10;196
17414;BLAST SLAM I;7.37;2024-11-26;2024-12-01;43
17417;SLAM II;7.37;2025-02-04;2025-02-09;43
17418;SLAM III;7.38;2025-05-06;2025-05-11;43
17509;ESL One Bangkok 2024 powered by Intel;7.37;2024-12-09;2024-12-15;88
17765;DreamLeague Season 25 powered by Intel;7.37;2025-02-16;2025-03-04;195
17795;ESL One Raleigh 2025;7.38;2025-04-07;2025-04-14;90
17891;PGL Wallachia 2025 Season 3;7.37, 7.38;2025-03-08;2025-03-16;112
18058;PGL Wallachia 2025 Season 4;7.38;2025-04-19;2025-04-27;115
18111;DreamLeague Season 26;7.38, 7.39;2025-05-19;2025-06-01;202
